employee_id,full_name,position_id,position_name,store_id,hire_date,termination_date,contract_type,slot_seq
28,Tran Thi Thao,3,Thu ngan,1,2024-03-15,2024-12-25,full_time,1
29,Le Ngoc Thao,3,Thu ngan,1,2025-01-01,2025-09-24,part_time,1
30,Vu Ngoc Ha,3,Thu ngan,1,2025-10-04,2025-11-18,full_time,1
31,Do Thanh Tuan,3,Thu ngan,1,2025-11-29,,part_time,1
32,Tran Ngoc Huong,3,Thu ngan,1,2022-03-29,2022-06-10,full_time,2
33,Pham My Huong,3,Thu ngan,1,2022-06-17,2022-08-01,full_time,2
34,Pham Thi Linh,3,Thu ngan,1,2022-08-06,2025-10-25,full_time,2
35,Do Anh Khang,3,Thu ngan,1,2025-11-09,,full_time,2
36,Ly My Yen,4,Phuc vu,1,2022-03-29,2023-03-03,part_time,1
37,Vu Minh Hung,4,Phuc vu,1,2023-03-23,2023-06-30,full_time,1
38,Vu Anh Nam,4,Phuc vu,1,2023-07-08,2023-08-22,part_time,1
39,Ngo Thi Huong,4,Phuc vu,1,2023-08-30,2024-07-10,full_time,1
40,Vu Minh Phong,4,Phuc vu,1,2024-07-21,2024-12-26,full_time,1
41,Vo My Trang,4,Phuc vu,1,2025-01-14,2025-02-28,full_time,1
42,Nguyen Thi Huong,4,Phuc vu,1,2025-03-06,2025-07-24,part_time,1
43,Duong Anh Nam,4,Phuc vu,1,2025-08-03,2025-09-17,part_time,1
44,Hoang Kim Mai,4,Phuc vu,1,2025-09-27,,part_time,1
45,Ngo My Thao,4,Phuc vu,1,2022-03-29,2022-05-29,part_time,2
46,Nguyen Duc Dat,4,Phuc vu,1,2022-06-07,2023-03-31,full_time,2
47,Bui Anh Dat,4,Phuc vu,1,2023-04-06,2023-06-21,part_time,2
48,Duong Ngoc Trang,4,Phuc vu,1,2023-07-01,2024-01-18,full_time,2
49,Tran Duc Khang,4,Phuc vu,1,2024-01-25,2024-07-05,part_time,2
50,Bui Duc Dat,4,Phuc vu,1,2024-07-11,2024-08-25,part_time,2
51,Ho Quoc Khang,4,Phuc vu,1,2024-09-09,,part_time,2
52,Do Quoc Bao,4,Phuc vu,1,2022-03-29,2023-05-11,full_time,3
53,Nguyen Kim Yen,4,Phuc vu,1,2023-05-26,2024-12-22,part_time,3
54,Hoang Minh Tuan,4,Phuc vu,1,2024-12-30,,full_time,3
55,Huynh Thu Anh,1,Quan ly,2,2021-06-04,2023-09-13,full_time,1
56,Bui Hong Ha,1,Quan ly,2,2023-10-02,,full_time,1
57,Hoang Hong Trang,2,Pha che,2,2021-06-04,2021-07-19,full_time,1
58,Ho My Anh,2,Pha che,2,2021-07-28,2021-11-04,full_time,1
59,Huynh Minh Phong,2,Pha che,2,2021-11-17,2022-01-01,full_time,1
60,Nguyen Thi Chi,2,Pha che,2,2022-01-21,2022-07-19,full_time,1
61,Le Thanh Phong,2,Pha che,2,2022-08-01,2023-03-13,full_time,1
62,Vu My Linh,2,Pha che,2,2023-03-23,2023-08-14,full_time,1
63,Ly Ngoc Ha,2,Pha che,2,2023-08-22,2025-11-04,full_time,1
64,Le Kim Anh,2,Pha che,2,2025-11-10,2026-04-10,part_time,1
65,Ngo Thi Ngan,2,Pha che,2,2026-04-16,,full_time,1
66,Tran Quoc Dat,2,Pha che,2,2021-06-04,2022-05-27,full_time,2
67,Ly Ngoc Anh,2,Pha che,2,2022-06-14,2022-08-05,part_time,2
68,Ho Quoc Son,2,Pha che,2,2022-08-15,2024-02-20,part_time,2
69,Tran Kim Linh,2,Pha che,2,2024-03-03,2024-04-17,full_time,2
70,Vo Thu Mai,2,Pha che,2,2024-05-07,,full_time,2
71,Pham Thi Huong,2,Pha che,2,2021-06-04,2022-10-23,part_time,3
72,Ngo Thu Ngan,2,Pha che,2,2022-11-09,2023-02-18,full_time,3
73,Huynh Thi Trang,2,Pha che,2,2023-03-07,2023-04-21,full_time,3
74,Hoang Thi Trang,2,Pha che,2,2023-05-04,2025-06-13,full_time,3
75,Vu My Ha,2,Pha che,2,2025-07-01,,full_time,3
76,Pham Thu Linh,3,Thu ngan,2,2021-06-04,2022-11-02,full_time,1
77,Dang Hong Huong,3,Thu ngan,2,2022-11-20,2024-06-25,full_time,1
78,Ly Thu Yen,3,Thu ngan,2,2024-07-11,2024-08-25,full_time,1
79,Ly Quoc Dat,3,Thu ngan,2,2024-09-09,2025-01-18,part_time,1
80,Ho Quoc Dat,3,Thu ngan,2,2025-02-01,2025-03-18,part_time,1
81,Vu Hong Anh,3,Thu ngan,2,2025-03-27,,full_time,1
82,Dang Van Phong,3,Thu ngan,2,2021-06-04,2022-06-25,full_time,2
83,Bui Hong Ngan,3,Thu ngan,2,2022-07-09,2022-12-15,full_time,2
84,Dang Kim Anh,3,Thu ngan,2,2023-01-03,2023-02-17,full_time,2
85,Bui Thu Trang,3,Thu ngan,2,2023-02-24,2023-07-21,full_time,2
86,Pham Minh Nam,3,Thu ngan,2,2023-08-02,2023-11-26,part_time,2
87,Duong Van Bao,3,Thu ngan,2,2023-12-02,2025-05-02,full_time,2
88,Ho Hong Chi,3,Thu ngan,2,2025-05-20,2026-03-17,part_time,2
89,Ho Van Hung,3,Thu ngan,2,2026-04-06,,full_time,2
90,Ngo Thanh Dat,4,Phuc vu,2,2021-06-04,2021-10-13,part_time,1
91,Duong Van Bao,4,Phuc vu,2,2021-11-01,2021-12-16,full_time,1
92,Dang My Ngan,4,Phuc vu,2,2021-12-25,2022-09-07,part_time,1
93,Dang Kim Ha,4,Phuc vu,2,2022-09-26,2023-07-16,part_time,1
94,Vo Kim Mai,4,Phuc vu,2,2023-08-04,2024-01-20,part_time,1
95,Ngo Duc Bao,4,Phuc vu,2,2024-02-01,2024-11-29,part_time,1
96,Hoang Minh Phong,4,Phuc vu,2,2024-12-11,2025-06-15,full_time,1
97,Le Ngoc Huong,4,Phuc vu,2,2025-06-30,2025-11-28,part_time,1
98,Tran Kim Chi,4,Phuc vu,2,2025-12-15,2026-04-08,part_time,1
99,Pham Anh Son,4,Phuc vu,2,2026-04-23,2026-06-07,part_time,1
100,Vu Kim Linh,4,Phuc vu,2,2026-06-12,2026-07-27,part_time,1
