customer_id,full_name,phone_number,email,registration_date,registration_channel,home_store_id,current_tier_id
70,Bui Tuan,924165187,,2026-08-04,pos,12,TIER-1
71,Dang Vy,980027662,,2025-08-11,app,9,TIER-1
72,Hoang Phong,968461818,,2022-08-27,pos,19,TIER-1
73,Pham Tuan,921631697,customer_73@example.com,2020-05-05,pos,15,TIER-1
74,Le Vy,913852048,,2025-12-09,app,11,TIER-1
75,Duong Minh,947535126,,2025-01-26,app,23,TIER-1
76,Vu Linh,921490777,customer_76@example.com,2025-09-22,pos,14,TIER-1
77,Hoang Linh,970152969,,2025-11-27,app,3,TIER-1
78,Huynh Vy,942655866,,2021-07-27,pos,19,TIER-1
79,Vo Phong,981259135,,2023-10-11,pos,24,TIER-1
80,Pham Dung,970900658,customer_80@example.com,2021-06-30,pos,9,TIER-1
81,Le Hai,981922443,,2025-06-11,app,23,TIER-1
82,Dang Nam,989133014,,2025-01-16,app,17,TIER-1
83,Le Nam,936054020,customer_83@example.com,2023-02-21,pos,12,TIER-1
84,Nguyen Nam,981690398,customer_84@example.com,2021-01-08,pos,2,TIER-1
85,Vu Dung,926948946,,2023-12-24,pos,25,TIER-1
86,Vu Phong,987049595,customer_86@example.com,2023-01-07,pos,16,TIER-1
87,Phan Vy,974119726,customer_87@example.com,2025-01-02,app,3,TIER-1
88,Hoang Chau,930364454,customer_88@example.com,2025-01-21,app,19,TIER-1
89,Pham Yen,965857931,,2026-05-08,app,20,TIER-1
90,Ngo Trang,970467027,,2024-07-13,pos,10,TIER-1
91,Do Dung,986320155,,2021-06-06,pos,20,TIER-1
92,Pham Giang,945520201,,2025-04-17,app,6,TIER-1
93,Hoang Binh,970465583,,2025-03-22,app,16,TIER-1
94,Ngo Tuan,948668783,,2024-04-28,pos,23,TIER-1
95,Phan Dung,993893865,,2025-01-08,pos,7,TIER-1
96,Ngo Em,940173413,,2024-10-05,pos,9,TIER-1
97,Dang Nam,918004482,customer_97@example.com,2024-02-06,pos,10,TIER-1
98,Do Son,926690465,,2024-08-12,pos,10,TIER-1
99,Tran Binh,977172238,,2020-05-19,pos,15,TIER-1
100,Tran Linh,953261270,,2021-08-10,pos,1,TIER-1
